category_id,category_name,fragility_level,requires_cushioning,moisture_sensitive,temperature_sensitive,product_weight_kg,material_id,material_name,material_type,strength_score,weight_capacity_kg,biodegradability_score,moisture_resistance,co2_emission_kg,cost_per_kg,co2_impact_index,cost_efficiency_index,eco_score,suitability_score,predicted_co2,predicted_cost
1,Electronics,high,True,True,False,1.75,1,Corrugated Cardboard,Paper-based,0.7,25.0,0.85,0.15,0.84,125.0,0.1939411764705882,0.9320894010175635,0.8524235294117647,0.9027,0.2205,32.81
1,Electronics,high,True,True,False,2.625,1,Corrugated Cardboard,Paper-based,0.7,25.0,0.85,0.15,0.84,125.0,0.1939411764705882,0.9320894010175635,0.8524235294117647,0.9027,0.3307,49.22
1,Electronics,high,True,True,False,3.5,1,Corrugated Cardboard,Paper-based,0.7,25.0,0.85,0.15,0.84,125.0,0.1939411764705882,0.9320894010175635,0.8524235294117647,0.9027,0.441,65.62
1,Electronics,high,True,True,False,4.375,1,Corrugated Cardboard,Paper-based,0.7,25.0,0.85,0.15,0.84,125.0,0.1939411764705882,0.9320894010175635,0.8524235294117647,0.9027,0.5513,82.03
1,Electronics,high,True,True,False,5.25,1,Corrugated Cardboard,Paper-based,0.7,25.0,0.85,0.15,0.84,125.0,0.1939411764705882,0.9320894010175635,0.8524235294117647,0.9027,0.6615,98.44
1,Electronics,high,True,True,False,6.125,1,Corrugated Cardboard,Paper-based,0.7,25.0,0.85,0.15,0.84,125.0,0.1939411764705882,0.9320894010175635,0.8524235294117647,0.9027,0.7717,114.84
1,Electronics,high,True,True,False,7.0,1,Corrugated Cardboard,Paper-based,0.7,25.0,0.85,0.15,0.84,125.0,0.1939411764705882,0.9320894010175635,0.8524235294117647,0.9027,0.882,131.25
1,Electronics,high,True,True,False,1.75,2,Honeycomb Cardboard,Paper-based,0.82,50.0,0.85,0.12,0.75,185.0,0.1844117647058823,0.9020553909514604,0.848735294117647,0.9399,0.1969,48.56
1,Electronics,high,True,True,False,2.625,2,Honeycomb Cardboard,Paper-based,0.82,50.0,0.85,0.12,0.75,185.0,0.1844117647058823,0.9020553909514604,0.848735294117647,0.9399,0.2953,72.84
1,Electronics,high,True,True,False,3.5,2,Honeycomb Cardboard,Paper-based,0.82,50.0,0.85,0.12,0.75,185.0,0.1844117647058823,0.9020553909514604,0.848735294117647,0.9399,0.3938,97.12
1,Electronics,high,True,True,False,4.375,2,Honeycomb Cardboard,Paper-based,0.82,50.0,0.85,0.12,0.75,185.0,0.1844117647058823,0.9020553909514604,0.848735294117647,0.9399,0.4922,121.41
1,Electronics,high,True,True,False,5.25,2,Honeycomb Cardboard,Paper-based,0.82,50.0,0.85,0.12,0.75,185.0,0.1844117647058823,0.9020553909514604,0.848735294117647,0.9399,0.5906,145.69
1,Electronics,high,True,True,False,6.125,2,Honeycomb Cardboard,Paper-based,0.82,50.0,0.85,0.12,0.75,185.0,0.1844117647058823,0.9020553909514604,0.848735294117647,0.9399,0.6891,169.97
1,Electronics,high,True,True,False,7.0,2,Honeycomb Cardboard,Paper-based,0.82,50.0,0.85,0.12,0.75,185.0,0.1844117647058823,0.9020553909514604,0.848735294117647,0.9399,0.7875,194.25
1,Electronics,high,True,True,False,1.75,3,Kraft Paper,Paper-based,0.55,15.0,0.9,0.1,0.95,100.0,0.2405882352941176,0.9053632943212502,0.8312647058823529,0.8406,0.2494,26.25
1,Electronics,high,True,True,False,2.625,3,Kraft Paper,Paper-based,0.55,15.0,0.9,0.1,0.95,100.0,0.2405882352941176,0.9053632943212502,0.8312647058823529,0.8406,0.3741,39.38
1,Electronics,high,True,True,False,3.5,3,Kraft Paper,Paper-based,0.55,15.0,0.9,0.1,0.95,100.0,0.2405882352941176,0.9053632943212502,0.8312647058823529,0.8406,0.4987,52.5
1,Electronics,high,True,True,False,4.375,3,Kraft Paper,Paper-based,0.55,15.0,0.9,0.1,0.95,100.0,0.2405882352941176,0.9053632943212502,0.8312647058823529,0.8406,0.6234,65.62
